SQ_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,patrimonio_total,qtd_bens,tipo_principal
40002541589,ANDRE PASSOS,DEPUTADO FEDERAL,PODE,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002550806,XUXA DO AMAZONAS,SENADOR,MOBILIZA,MASCULINO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002551308,WLADIMIR MEDEIROS,DEPUTADO ESTADUAL,PSOL,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002551312,RAIMUNDA KAMBEBA,DEPUTADO ESTADUAL,REDE,FEMININO,LÊ E ESCREVE,0.0,0,Nenhum bem declarado
40002551319,NALDO MURA,DEPUTADO ESTADUAL,REDE,MASCULINO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002536899,MARCIO PATRIOTA,DEPUTADO ESTADUAL,NOVO,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002542660,BRENA DIANNÁ,DEPUTADO ESTADUAL,UNIÃO,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002546987,MARCOS PATRÍCIO,DEPUTADO ESTADUAL,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002546988,VALESKA FREITAS,DEPUTADO ESTADUAL,PDT,FEMININO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002534380,MARCELO AMIL,DEPUTADO ESTADUAL,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002545601,MICHELLE ANDREWS,DEPUTADO ESTADUAL,PT,FEMININO,SUPERIOR INCOMPLETO,0.0,0,Nenhum bem declarado
40002536440,JUNIOR RESGATE,DEPUTADO FEDERAL,AVANTE,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002537352,VIVI LIRA,DEPUTADO ESTADUAL,AVANTE,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002536485,ANTÔNIO SÁ,DEPUTADO ESTADUAL,AGIR,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002532754,DONMARQUES,DEPUTADO ESTADUAL,MDB,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002541605,ALESSANDRA FARIAS,DEPUTADO ESTADUAL,PODE,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002542952,RAMON PEDROSA,DEPUTADO ESTADUAL,PL,MASCULINO,ENSINO MÉDIO INCOMPLETO,0.0,0,Nenhum bem declarado
40002541595,PROF. ANTONIA MCGREGOR,DEPUTADO ESTADUAL,PODE,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002536478,MARA NÚBIA,DEPUTADO ESTADUAL,AGIR,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002554167,PAULO MENDES,DEPUTADO ESTADUAL,PT,MASCULINO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002541592,ENFERMEIRA LILI,DEPUTADO ESTADUAL,PODE,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002541603,THIAGUINHO LAGO AZUL E BANCADA,DEPUTADO ESTADUAL,PODE,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002532741,LUANA FERRAZ,DEPUTADO ESTADUAL,MDB,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002542665,DALVA MORAIS,DEPUTADO ESTADUAL,PP,FEMININO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002545603,CRISTIANE SALES,DEPUTADO ESTADUAL,PT,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002541590,PASTORA RUTH COSTA,DEPUTADO FEDERAL,PODE,FEMININO,SUPERIOR INCOMPLETO,0.0,0,Nenhum bem declarado
40002536904,WENDEL LARGATIXA,DEPUTADO ESTADUAL,NOVO,MASCULINO,SUPERIOR INCOMPLETO,0.0,0,Nenhum bem declarado
40002537619,FLÁVIA KETLEN,DEPUTADO ESTADUAL,AVANTE,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002549861,JORNADA,DEPUTADO FEDERAL,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002539047,PATRICIA BENZAQUEM,DEPUTADO FEDERAL,MISSÃO,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002537614,FÁBIO FARIAS,DEPUTADO ESTADUAL,AVANTE,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002541585,PR. EDIVAN CASTILHO,DEPUTADO FEDERAL,PODE,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,0.0,0,Nenhum bem declarado
40002549899,DENIS REAL,DEPUTADO FEDERAL,SOLIDARIEDADE,MASCULINO,SUPERIOR INCOMPLETO,0.0,0,Nenhum bem declarado
40002546997,TATI DA NUTRIÇÃO,DEPUTADO ESTADUAL,PDT,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002554166,RODRIGO FURTADO,DEPUTADO ESTADUAL,PT,MASCULINO,SUPERIOR INCOMPLETO,0.0,0,Nenhum bem declarado
40002532788,CLÉIA BRANCHES,DEPUTADO ESTADUAL,PSD,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002537624,MEYB SEIXAS,DEPUTADO ESTADUAL,AVANTE,FEMININO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
